"datetime";"date";"time";"price";"shares";"amount";"tax";"fee";"realizedgains";"type";"broker";"assettype";"identifier";"wkn";"originalcurrency";"currency";"fxrate";"holding";"holdingname";"holdingnickname";"exchange";"avgholdingperiod"
"2025-07-02T07:00:00.003Z";"02.07.2025";"09:00:00";421,15;0,118722;50;0;0;;"Buy";"trade_republic";"Security";"US22788C1053";"A2PK2R";;"EUR";;;"Crowdstrike A";"";"langschwarz";
"2025-07-02T07:00:00.002Z";"02.07.2025";"09:00:00";135,58;0,368785;50;0;0;;"Buy";"trade_republic";"Security";"US98978V1035";"A1KBYX";;"EUR";;;"Zoetis";"";"langschwarz";
"2025-07-02T07:00:00.001Z";"02.07.2025";"09:00:00";611,2;0,040903;25;0;0;;"Buy";"trade_republic";"Security";"US30303M1027";"A1JWVX";;"EUR";;;"Meta Platforms";"";"langschwarz";
"2025-07-02T07:00:00.000Z";"02.07.2025";"09:00:00";359,95;0,277816;100;0;0;;"Buy";"trade_republic";"Security";"US8835561023";"857209";;"EUR";;;"Thermo Fisher Scientific Inc.";"";"langschwarz";
"2025-07-02T06:59:59.000Z";"02.07.2025";"08:59:00";1;2,97;2,97;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T16:17:07.836Z";"01.07.2025";"18:17:00";1;13,8;13,8;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T13:34:37.693Z";"01.07.2025";"15:34:00";1;3;3;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T09:42:59.470Z";"01.07.2025";"11:42:00";1;1,64;1,64;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T07:00:00.000Z";"01.07.2025";"09:00:00";1;1,3;1,3;0,33;0;;"Interest";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T00:03:00.084Z";"01.07.2025";"02:03:00";1;38,24;38,24;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-01T00:00:00.000Z";"01.07.2025";"02:00:00";1;0,03;0,03;0;0;;"Interest";"scalable_capital";;;;;"EUR";;"hld_67bf91d99bbda8421ff8340f";;"Verrechnungskonto";;
"2025-06-30T16:24:23.306Z";"30.06.2025";"18:24:00";1;7,21;7,21;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
