Date Sold,Ticker,Asset Type,Quantity,Proceeds (EUR),Cost Basis (EUR),Realized Gain (EUR),Holding Period (days),Date Acquired
2025-12-08,SPOT,Stock,0.00868,€4.21,€5.00,€-0.79,206,2025-05-16
2025-12-08,BLK,Stock,0.005652,€5.20,€5.00,€0.20,206,2025-05-16
2025-12-08,NET,Stock,0.035816,€6.24,€5.00,€1.24,206,2025-05-16
2025-12-08,CNSWF,Stock,0.001531,€3.18,€5.00,€-1.82,206,2025-05-16
2025-12-08,KSPI,Stock,56.899742,"€3,678.92","€4,813.22","€-1,134.30",441,2024-09-23
2025-12-08,KSPI,Stock,14.959859,€960.42,"€1,265.47",€-305.05,441,2024-09-23
2025-11-27,SE,Stock,0.559214,€65.15,€22.51,€42.64,743,2023-11-15
2025-11-10,EUXTF,Stock,0.377088,€47.93,€33.37,€14.56,882,2023-06-12
2025-11-10,WPLCF,Stock,7.0,€73.71,€91.86,€-18.15,322,2024-12-23
2025-11-10,WPLCF,Stock,0.820862,€8.64,€10.77,€-2.13,322,2024-12-23
2025-11-10,ANPDF,Stock,0.943218,€8.67,€10.00,€-1.33,178,2025-05-16
2025-11-07,LVMHF,Stock,0.527646,€318.43,€250.71,€67.72,151,2025-06-09
2025-11-07,LVMHF,Stock,2.0,"€1,207.00",€950.29,€256.71,151,2025-06-09
2025-10-31,META,Stock,0.176774,€100.05,€87.61,€12.44,431,2024-08-26
2025-10-28,SOFI,Stock,30.0,€788.55,€232.63,€555.92,594,2024-03-13
2025-10-17,VFAWF,Stock,133.0,"€18,649.26","€17,217.57","€1,431.69",375,2024-10-07
2025-09-29,TSLA,Stock,8.0,"€3,009.60","€1,488.99","€1,520.61",731,2023-09-29
2025-09-17,JNJ,Stock,0.559785,€83.78,€75.00,€8.78,107,2025-06-02
2025-09-17,EVGGF,Stock,1.0,€73.16,€66.49,€6.67,268,2024-12-23
2025-09-17,EVGGF,Stock,0.077912,€5.70,€5.18,€0.52,268,2024-12-23
2025-09-03,TMO,Stock,0.277816,€114.71,€100.00,€14.71,63,2025-07-02
2025-09-02,ANET,Stock,0.978473,€112.64,€75.00,€37.64,92,2025-06-02
